Estado,Ano,Incompleto,Completo
MG,2018,"4,3","11,3"
ES,2018,"4,4","11,7"
RJ,2018,"5,6","15,4"
SP,2018,"5,3","16,3"
PR,2018,"4,6","13,5"
SC,2018,"5,4","14,1"
RS,2018,"5,8","12,6"
MS,2018,"4,9","12,6"
MT,2018,"4,8","11,7"
GO,2018,"4,9","11,1"
DF,2018,"6,8","24,5"
